filename,data_parallel,task_parallel,sequential
../test/fixtures/kun01.txt,0.00364511,0.010614,0.028218
../test/fixtures/kun02.txt,0.00383222,0.006578,0.017044
../test/fixtures/kun03.txt,0.135497,0.112243,2.601100
../test/fixtures/kun04.txt,0.0124687,0.006759,0.052444
../test/fixtures/kun05.txt,0.0460448,0.107471,0.052078
../test/fixtures/kun06.txt,0.00381952,0.002675,0.031005
../test/fixtures/kun07.txt,0.00482042,0.010776,0.019723
../test/fixtures/kun08.txt,0.0998501,0.116484,2.742440
../test/fixtures/kun09.txt,0.0648954,0.074875,0.379592
../test/fixtures/kun10.txt,2.10364,4.702110,14.022900
../test/fixtures/kun11.txt,40.9145,160.478000,124.001000
../test/fixtures/kun12.txt,2.14755,7.347330,20.010500
